Population,ISO,HDI_score,HDI_rank,Economy,N_M,BodyMass_M,Height_M,BMI_M,Fat_M,TEE_M,BEEmeas_M,BEEest_M,AEE_M,PAL_M,adj_BMI_TEE_slope_M,adj_Fat_TEE_slope_M,N_F,BodyMass_F,Height_F,BMI_F,Fat_F,TEE_F,BEEmeas_F,BEEest_F,AEE_F,PAL_F,adj_BMI_TEE_slope_F,adj_Fat_TEE_slope_F,PercUPF,UPF_source,kg_meat,meat_source, lat, lon,
United Arab Emirates,ARE,0.911,25,highHDI,10,79.65,173.9,26.34,29.94,9.06,NA,6.96,1.2,1.31,4.311,-1.359,10,61.74,160.1,23.98,35.9,6.82,NA,5.4,0.74,1.25,10.831,7.337,NA,NA,NA,NA, 25.2048, 55.2708
Australia,AUS,0.951,5,highHDI,6,81.43,182.5,24.44,15.34,19.32,NA,7.98,9.41,2.43,27.093,4.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,1,118.23,2, -25.2744, 133.7751
Aymara,AYM,NA,205,AGP,9,56.5,162.96,21.3,18.39,12.24,NA,6.17,4.85,1.98,6.141,0.792,10,53.53,153.61,22.68,32.67,9.97,NA,5.08,3.9,1.99,-14.503,-18.373,2.5,3,NA,NA, -16.2000, -68.5500
Belgium,BEL,0.937,16,highHDI,19,78.01,178.0,24.67,25.19,13.75,6.9,NA,5.47,1.99,10.332,4.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,1,69.64,2, 50.8503, 4.3517
Bolivia,BOL,0.692,119,midHDI,4,65.88,181.75,19.95,5.04,13.15,6.84,NA,4.99,1.93,-68.026,-2.703,2,51.0,160.0,19.91,20.08,9.0,5.45,NA,2.65,1.66,NA,62.659,9.5,4,67.17,2, -16.2902, -63.5887
Switzerland,CHE,0.962,3,highHDI,1,75.6,176.0,24.41,25.33,16.72,7.4,NA,7.65,2.26,NA,NA,1,53.6,157.0,21.75,26.3,11.94,6.1,NA,4.64,1.96,NA,NA,28.7,5,73.03,2, 46.8182, 8.2275
Chile,CHL,0.855,43,highHDI,6,55.02,167.5,19.61,9.64,11.36,NA,6.2,4.02,1.83,21.338,-0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,1,82.34,2, -35.6751, -71.5430
China,CHN,0.768,82,midHDI,NaN,NaN,NA,NA,NaN,NaN,NA,NA,NaN,NaN,NA,NA,42,51.04,162.37,19.35,28.04,7.38,NA,5.7,0.94,1.31,-11.229,-4.659,3.6,6,59.17,2, 35.8617, 104.1954
Germany,DEU,0.941,7,highHDI,34,89.54,180.59,27.46,27.39,14.01,NA,7.69,4.92,1.83,-5.457,-0.212,41,75.47,168.27,26.7,37.05,10.86,NA,6.21,3.57,1.75,-5.852,-2.019,38.45,7,86.76,2, 51.1657, 10.4515
Daasanach,DSN,NA,204,AGP,15,52.47,170.93,17.97,14.22,10.58,NA,5.82,3.7,1.8,-6.924,4.62,19,49.26,163.75,18.52,24.95,9.14,NA,5.12,3.1,1.77,-27.248,2.418,2.5,Obs.,NA,NA, 4.6000, 36.2000
Finland,FIN,0.94,12,highHDI,36,80.75,177.86,25.47,25.73,14.63,7.68,NA,5.49,1.91,-3.092,-11.501,30,76.41,164.27,28.31,36.48,10.3,6.01,NA,3.25,1.72,7.637,1.943,31.75,7,76.77,2, 64.0000, 26.0000
France,FRA,0.903,28,highHDI,6,73.83,179.83,22.82,16.85,13.04,NA,7.34,4.39,1.77,-31.967,-15.183,33,75.02,NA,NA,34.19,11.12,NA,5.84,4.16,1.94,-2.37,12.616,20.27,1,88.51,2, 46.2276, 2.2137
United Kingdom,GBR,0.929,17,highHDI,25,78.87,177.01,25.1,22.45,13.4,6.56,NA,5.5,2.08,-16.485,-4.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.05,1,82.28,2, 55.3781, -3.4360
Ghana,GHA,0.632,135,lowHDI,31,62.76,168.8,22.03,14.46,12.18,6.77,NA,4.19,1.8,-6.906,-5.964,38,63.22,157.57,25.6,32.94,9.92,5.81,NA,3.12,1.7,-9.671,-0.746,NA,NA,17.06,2, 7.9465, -1.0232
Gambia,GMB,0.5,173,lowHDI,8,61.16,169.63,21.18,12.65,16.23,6.71,NA,7.9,2.4,5.999,12.474,7,50.19,158.5,19.99,23.08,9.66,NA,5.27,3.42,1.85,-3.901,-2.222,NA,8,7.62,2, 13.4432, -15.3101
Hadza,HZA,NA,206,HG,24,50.72,NA,NA,13.17,10.47,NA,5.66,3.76,1.85,1.314,1.171,20,44.93,150.04,19.92,22.61,7.97,NA,4.88,2.29,1.63,10.838,-0.391,0,9,167.77,10, -3.7000, 35.0000
